month,fork_count
2019-06,5
2019-07,3
2019-08,37
2019-09,52
2019-10,4481
2019-11,414
2019-12,445
2020-01,656
2020-02,437
2020-03,427
2020-04,345
2020-05,515
2020-06,495
2020-07,401
2020-08,253
2020-09,823
2020-10,548
2020-11,826
2020-12,613
2021-01,725
2021-02,399
2021-03,478
2021-04,596
2021-05,336
2021-06,2272
2021-07,680
2021-08,410
2021-09,597
2021-10,162
2021-11,816
2021-12,433
2022-01,616
2022-02,1234
2022-03,526
2022-04,479
2022-05,511
2022-06,489
2022-07,501
2022-08,723
2022-09,1347
2022-10,534
2022-11,506
2022-12,504
2023-01,685
2023-02,592
2023-03,610
2023-04,674
2023-05,942
2023-06,534
2023-07,757
2023-08,1096
2023-09,774
2023-10,764
2023-11,810
2023-12,1005
2024-01,1457
2024-02,1153
2024-03,892
2024-04,907
2024-05,765
2024-06,710
2024-07,908
2024-08,1609
2024-09,1780
2024-10,1600
2024-11,2131
2024-12,3067
2025-01,4010
2025-02,5631
2025-03,8951
2025-04,13239
2025-05,11689
2025-06,7330
2025-07,7444
2025-08,5109
2025-09,5182
2025-10,3620
2025-11,2665
2025-12,2681
2026-01,846